XC Date,Organization ID,Org Name,Previous Status,Current Status,Comments,Date Completed
09_11,91324,American Medical Women's Association at Berkeley ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,45863,Arab Student Union,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,91798,Arnold Air Society,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,91330,Association for the Latinx MBA Advancement (formerly known as Haas Latinx Business Club) ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,91452,BERKE1337 Cyber Security Team ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,45885,Berkeley College Republicans,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,340852,Bike Builders of Berkeley,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,132779,Biofuels Technology Club,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,46067,Cal Community Music,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,54275,Department of Integrative Biology Students,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,321623,Design at Berkeley ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,361218,DeTrash@Berkeley,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,361568,GlobalHope 365,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,58730,Graduate Association of Latinx Students (GALS)(FORMERLY known as Graduate Students de la Raza),Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,322560,Herbicide Free at Berkeley,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,46140,Historic Preservation Club ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,146002,International Building Performance Simulation Association/ASHRAE Berkeley ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,46454,Lebanese Student Association at Berkeley,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,Registered Student Organizations,Reg Req finished,
09_11,46717,Optometry Class of 2024 at Berkeley,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,361807,Real Talk Buddies,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,361545,Republican Jewish Coalition ,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,385341,SUR at California,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,378135,Surge - Electric Motorcycles at Berkeley,Registered Student Organizations,Registered Student Organizations,Reg Req finished,
09_11,92002,Young Americans for Liberty,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,Registered Student Organizations,Reg Req finished,
