Organization ID,Organization Name,link,Completed T&C
92145,AAAA - Furries at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/furries-at-berkeley/roster/Roster/terms,2
59420,Abba Modern,https://callink.berkeley.edu/actioncenter/organization/abbamodern/roster/Roster/terms,3
160640,ABC Sketches,https://callink.berkeley.edu/actioncenter/organization/abcsketches/roster/Roster/terms,3
45856,"Alpha Epsilon Zeta Fraternity, Inc.",https://callink.berkeley.edu/actioncenter/organization/AEZ/roster/Roster/terms,1
45857,Alpha Phi Omega,https://callink.berkeley.edu/actioncenter/organization/calaphio/roster/Roster/terms,4
45858,American Advertising Federation,https://callink.berkeley.edu/actioncenter/organization/americanadvertisingfederationimagical/roster/Roster/terms,2
46447,American Cancer Society of Berkeley ,https://callink.berkeley.edu/actioncenter/organization/americancancersociety/roster/Roster/terms,4
46481,American Constitution Society at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/acs/roster/Roster/terms,4
46423,American Institute of Architecture Students ,https://callink.berkeley.edu/actioncenter/organization/americaninstituteforarchitecturestudents/roster/Roster/terms,2
91569,American Institute of Chemical Engineers,https://callink.berkeley.edu/actioncenter/organization/aiche/roster/Roster/terms,3
45859,American Medical Students Association: Berkeley Premedical Chapter ,https://callink.berkeley.edu/actioncenter/organization/amsa/roster/Roster/terms,3
46637,American Society of Landscape Architects,https://callink.berkeley.edu/actioncenter/organization/americansocietyoflandscapearchitects/roster/Roster/terms,2
368858,Analytics @ Berkeley,https://callink.berkeley.edu/actioncenter/organization/analyticsatberkeley/roster/Roster/terms,3
91424,Asian American Christian Fellowship ,https://callink.berkeley.edu/actioncenter/organization/AACF/roster/Roster/terms,4
375783,Asian Community Health,https://callink.berkeley.edu/actioncenter/organization/AsianCommunityHealth/roster/Roster/terms,2
91799,Association of Chinese Entrepreneurs at Berkeley,https://callink.berkeley.edu/actioncenter/organization/ace/roster/Roster/terms,4
385414,B PsychEd ,https://callink.berkeley.edu/actioncenter/organization/bpsyched/roster/Roster/terms,6
187516,Bangali Student Association at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/bsaatberkeley/roster/Roster/terms,3
115354,Bay Area Optometric Council Mentorship Program at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/baocmentorship/roster/Roster/terms,4
73000,Bay Area Scientists in Schools at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/gabasis/roster/Roster/terms,4
45884,Berkeley Carillon Guild,https://callink.berkeley.edu/actioncenter/organization/berkeleycarillonguild/roster/Roster/terms,3
91216,Berkeley Innovation,https://callink.berkeley.edu/actioncenter/organization/berkeleyinnovation/roster/Roster/terms,3
46432,Berkeley Investment Group,https://callink.berkeley.edu/actioncenter/organization/berkeleyinvestmentgroup/roster/Roster/terms,3
46482,Berkeley Journal of International Law,https://callink.berkeley.edu/actioncenter/organization/bjil/roster/Roster/terms,1
45890,Berkeley Legal Studies Association ,https://callink.berkeley.edu/actioncenter/organization/blsa/roster/Roster/terms,3
91250,Berkeley Technology Law Journal,https://callink.berkeley.edu/actioncenter/organization/BTLJ/roster/Roster/terms,2
91803,Beta Alpha Psi,https://callink.berkeley.edu/actioncenter/organization/berkeleybap/roster/Roster/terms,2
147516,Beta Corporate Solutions,https://callink.berkeley.edu/actioncenter/organization/betacorporatesolutions/roster/Roster/terms,3
135676,Beta Sigma Kappa,https://callink.berkeley.edu/actioncenter/organization/betasigmakappa/roster/Roster/terms,4
46604,Biostatistics Graduate Student Association ,https://callink.berkeley.edu/actioncenter/organization/bsgsa/roster/Roster/terms,3
351164,Biotech @Berkeley,https://callink.berkeley.edu/actioncenter/organization/Biotech/roster/Roster/terms,3
92071,Black Campus Ministries at Berkeley,https://callink.berkeley.edu/actioncenter/organization/blackcampusministriescal/roster/Roster/terms,3
91446,Black Engineering and Science Students Association,https://callink.berkeley.edu/actioncenter/organization/BESSA/roster/Roster/terms,3
80168,"Blueprint, Technology for Nonprofits",https://callink.berkeley.edu/actioncenter/organization/blueprint/roster/Roster/terms,2
91892,Board Games at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/boardgamesatberkeley/roster/Roster/terms,3
91961,Brick by Brick at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/brickbybrick/roster/Roster/terms,2
165240,BridgeUSA at Berkeley ,https://callink.berkeley.edu/actioncenter/organization/BridgeUSA/roster/Roster/terms,2
46685,"B-Side, The",https://callink.berkeley.edu/actioncenter/organization/b-side/roster/Roster/terms,3
46516,Cal Animage Alpha,https://callink.berkeley.edu/actioncenter/organization/calanimagealpha/roster/Roster/terms,2
45903,Cal Berkeley Democrats ,https://callink.berkeley.edu/actioncenter/organization/calberkeleydemocrats/roster/Roster/terms,3
92074,Cal Christian Fellowship,https://callink.berkeley.edu/actioncenter/organization/calchristianfellowship-ivcf/roster/Roster/terms,3
46070,Cal Habitat for Humanity ,https://callink.berkeley.edu/actioncenter/organization/calhabitatforhumanity/roster/Roster/terms,1
91896,Cal Hang-Gliding Club,https://callink.berkeley.edu/actioncenter/organization/calhang-glidingclub/roster/Roster/terms,4
91483,Cal Seismic Design Team ,https://callink.berkeley.edu/actioncenter/organization/calseimicdesignteam/roster/Roster/terms,2
45916,Cal Taiko,https://callink.berkeley.edu/actioncenter/organization/caltaiko/roster/Roster/terms,3
