157803,CalGreeks Alcohol Task Force,Not Applicable,Not Applicable,0,In Progress,CalGreeks Affinity Groups,https//callink.berkeley.edu/actioncenter/organization/cat,LEAD Center Category: CalGreeks Fraternity & Sorority Support Organizations,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
92079,Campus Evangelistic Fellowship - Mandarin Group ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/CEF,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
385228,Cantonese Initiative of Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/cantonese-initiative-berkeley,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
235072,Caravan Travel & Style Magazine,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/caravan,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
301872,Casa Esperanza ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/casaesperanza,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
368856,Celerity Traditional Dance Team ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/celerity,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
166113,Central Americans for Empowerment at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/CentralAmerica,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
46509,Chemistry Graduate Life Committee ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/gachemistrygraduatelifecommittee,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91693,Chi Omega,Not Applicable,Not Applicable,0,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/chiomega,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods at jeff.woods@berkeley.edu
385046,Chinese Association for Technology and Science at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/cats,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
378984,Chinese Student Basketball Association,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/ChineseStudentBasketballAssociation,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91256,CMG Strategy Consulting (Formerly Creative Marketing Group),No - Need T&Cs,DENIED,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/cmgstrategyconsulting,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
46384,CNMAT Users Group,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/gacnmatusersgroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
350847,Coffee Club at Berkeley (CCB) ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/coffeeclubatberkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
378430,Collaborative Dorms Society ??,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/CollaborativeDormsSociety,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46188,College Admissions Mentorship Program (Formerly People's Test Preparation Service),No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/CAMP,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
60651,Comparative Literature Publication Association (formerly known as Comparative Literature Undergraduate Journal/ Vagabond),No - Need T&Cs,Denied,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/clpa,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
46395,Computer Science Graduate Student Association,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/csgsa,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46099,Comunidad for Health Equity ??,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/calche,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
83091,Consult Your Community (CYC) at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/cyc,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
361237,Core Consulting Group ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/coreconsultinggroup,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
220452,Creative Writers Association ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/creativewritersassociation,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
385434,Critical Pacific Island Studies Collective (CPISC),No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/cpisc,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
56944,CS KickStart,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/CSK,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
46591,Daily Californian,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/dailycal,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
76136,Dance Board of Berkeley Dance Community ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/DanceBoard,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
71335,Debate Society of Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/BerkeleyDebate,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
91695,Delta Delta Delta,Not Applicable,Not Applicable,1,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltadeltadelta,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods at jeff.woods@berkeley.edu
91696,Delta Gamma,Not Applicable,Not Applicable,0,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltagamma,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods at jeff.woods@berkeley.edu
91657,Delta Sigma,Not Applicable,Not Applicable,0,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltasigma,LEAD Center Category: CalGreeks Panhellenic Council (PHC) Sororities,Jeff Woods at jeff.woods@berkeley.edu
91643,Delta Sigma Phi,Not Applicable,Not Applicable,4,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltasigmaphi,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
46108,"Delta Sigma Theta Sorority, Inc.",Not Applicable,Not Applicable,3,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltasigmatheta,LEAD Center Category: CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
91645,Delta Upsilon,Not Applicable,Not Applicable,0,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltaupsilon,LEAD Center Category: CalGreeks Interfraternity Council (IFC) Fraternities,CalGreeks Advisor Jeffery Woods at jeff.woods@berkeley.edu
134808,Delta Xi Phi Multicultural Sorority,Not Applicable,Not Applicable,0,In Progress,CalGreeks,https//callink.berkeley.edu/actioncenter/organization/deltaxiphi,LEAD Center Category: CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities,Jeff Woods at jeff.woods@berkeley.edu
361428,East Asian Culinary Club (Formerly Caught on Film) ??,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/eacc,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
115778,Effective Altruists of Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/EAB,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
384615,Elder Welfare Mentorship ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/elderwelfarementorship,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
92118,Emerge Pursuit Fellowship ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/pursuitfellowship,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
91805,Enactus of Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/Enactus,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
368509,End Overdose at Berkeley,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/endoverdose,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
45945,Engineers Without Borders at Berkeley ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/ewbucb,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
159392,Entomology Club ??,No - Need T&Cs,Approved,5,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/entomology,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
376914,Entrepreneur Through Acquisition Club ??,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/EntrepreneurThroughAcquisitionClub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
165924,Environmental Health Sciences Graduate Students,No - Need T&Cs,Approved,4,In Progress,Registered Student Organizations,https//callink.berkeley.edu/actioncenter/organization/EHGS,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
