Username,OrganizationId,PositionName,StartDate,EndDate
1780695,362003,Signatory,09/19/2024,
1780695,361995,Signatory,09/19/2024,
1816644,46130,Signatory,09/19/2024,
1852219,123483,Signatory,09/19/2024,
1779846,362003,Signatory,09/19/2024,
1779846,361995,Signatory,09/19/2024,
1828925,135404,Signatory,09/19/2024,
1769114,46589,Signatory,09/19/2024,
1901345,138375,Signatory,09/19/2024,
1857630,58730,Signatory,09/19/2024,
1861037,91598,Signatory,09/19/2024,
1861037,138375,Signatory,09/19/2024,
1761741,384538,Signatory,09/19/2024,
118266,91946,Signatory,09/19/2024,
1762419,84857,Signatory,09/19/2024,
1762419,91672,Signatory,09/19/2024,
1866800,361940,Signatory,09/19/2024,
1796194,82714,Signatory,09/19/2024,
1862216,123483,Signatory,09/19/2024,
1862887,46563,Signatory,09/19/2024,
1572768,46424,Signatory,09/19/2024,
1097524,91946,Signatory,09/19/2024,
1799762,132926,Signatory,09/19/2024,
1793847,123483,Signatory,09/19/2024,
1829567,45862,Signatory,09/19/2024,
1871310,45992,Signatory,09/19/2024,
1873983,91327,Signatory,09/19/2024,
1760143,320866,Signatory,09/19/2024,
1864637,91758,Signatory,09/19/2024,
1864637,46019,Signatory,09/19/2024,
1815008,165240,Signatory,09/19/2024,
1809147,91643,Signatory,09/19/2024,
1760714,92159,Signatory,09/19/2024,
1764920,91236,Signatory,09/19/2024,
1764920,46036,Signatory,09/19/2024,
1801655,144722,Signatory,09/19/2024,
1886824,92144,Signatory,09/19/2024,
1778231,46083,Signatory,09/19/2024,
1814488,46150,Signatory,09/19/2024,
1814238,45995,Signatory,09/19/2024,
1874988,343234,Signatory,09/19/2024,
1860664,361234,Signatory,09/19/2024,
1860664,58731,Signatory,09/19/2024,
1769478,375783,Signatory,09/19/2024,
1769478,59032,Signatory,09/19/2024,
1881227,45945,Signatory,09/19/2024,
1861652,378150,Signatory,09/19/2024,
1820071,122748,Signatory,09/19/2024,
1810685,46454,Signatory,09/19/2024,
1678094,46362,Signatory,09/19/2024,
1861253,138375,Signatory,09/19/2024,
1865805,123483,Signatory,09/19/2024,
1821227,123483,Signatory,09/19/2024,
1821227,91882,Signatory,09/19/2024,
1765439,91943,Signatory,09/19/2024,
1690024,302877,Signatory,09/19/2024,
1039721,91919,Signatory,09/19/2024,
1649858,46363,Signatory,09/19/2024,
1649858,92151,Signatory,09/19/2024,
1763799,323366,Signatory,09/19/2024,
1801978,46446,Signatory,09/19/2024,
1801978,91946,Signatory,09/19/2024,
1816664,289706,Signatory,09/19/2024,
1816664,46318,Signatory,09/19/2024,
1602703,91946,Signatory,09/19/2024,
1855879,46362,Signatory,09/19/2024,
1761153,137790,Signatory,09/19/2024,
1708591,46307,Signatory,09/19/2024,
1507854,91598,Signatory,09/19/2024,
1507854,92124,Signatory,09/19/2024,
1750971,46384,Signatory,09/19/2024,
1750971,46444,Signatory,09/19/2024,
1769392,361218,Signatory,09/19/2024,
1848701,91923,Signatory,09/19/2024,
1848701,91919,Signatory,09/19/2024,
1848701,91506,Signatory,09/19/2024,
1848701,91598,Signatory,09/19/2024,
1848701,91331,Signatory,09/19/2024,
1874494,91277,Signatory,09/19/2024,
1761546,289626,Signatory,09/19/2024,
1761546,46036,Signatory,09/19/2024,
1815867,65801,Signatory,09/19/2024,
1849003,334115,Signatory,09/19/2024,
1849003,144583,Signatory,09/19/2024,
1796087,91426,Signatory,09/19/2024,
1796087,58744,Signatory,09/19/2024,
1796087,135676,Signatory,09/19/2024,
1759077,46122,Signatory,09/19/2024,
1878705,146002,Signatory,09/19/2024,
1760356,46533,Signatory,09/19/2024,
1701273,45979,Signatory,09/19/2024,
1821140,45882,Signatory,09/19/2024,
1821140,91576,Signatory,09/19/2024,
1810405,385233,Signatory,09/19/2024,
1768268,360312,Signatory,09/19/2024,
1896594,385035,Signatory,09/19/2024,
1760728,91412,Signatory,09/19/2024,
1819339,46122,Signatory,09/19/2024,
1849040,92144,Signatory,09/19/2024,
1759182,378135,Signatory,09/19/2024,
1760322,91758,Signatory,09/19/2024,
1851367,163843,Signatory,09/19/2024,
1720039,46717,Signatory,09/19/2024,
1716098,46002,Signatory,09/19/2024,
1878238,378619,Signatory,09/19/2024,
1858914,91506,Signatory,09/19/2024,
1762673,91523,Signatory,09/19/2024,
1817729,46211,Signatory,09/19/2024,
1873196,376913,Signatory,09/19/2024,
1866242,325654,Signatory,09/19/2024,
1879841,385341,Signatory,09/19/2024,
1801102,46044,Signatory,09/19/2024,
1860523,46354,Signatory,09/19/2024,
1818047,323366,Signatory,09/19/2024,
1522358,91272,Signatory,09/19/2024,
1522358,91495,Signatory,09/19/2024,
1834634,378434,Signatory,09/19/2024,
1819307,91527,Signatory,09/19/2024,
1880581,46086,Signatory,09/19/2024,
1796033,115058,Signatory,09/19/2024,
1746561,91495,Signatory,09/19/2024,
1874234,46254,Signatory,09/19/2024,
1773813,91495,Signatory,09/19/2024,
1855883,46362,Signatory,09/19/2024,
1817644,46221,Signatory,09/19/2024,
1768035,323366,Signatory,09/19/2024,
1864309,165193,Signatory,09/19/2024,
1765140,350851,Signatory,09/19/2024,
1507714,91495,Signatory,09/19/2024,
1507714,91213,Signatory,09/19/2024,
1866796,378434,Signatory,09/19/2024,
1811350,91438,Signatory,09/19/2024,
1763686,46737,Signatory,09/19/2024,
1763686,360314,Signatory,09/19/2024,
1819962,158429,Signatory,09/19/2024,
1750150,46083,Signatory,09/19/2024,
1763207,46086,Signatory,09/19/2024,
1873345,343328,Signatory,09/19/2024,
1760991,326053,Signatory,09/19/2024,
1885321,384538,Signatory,09/19/2024,
1927817,368854,Signatory,09/19/2024,
1812557,218810,Signatory,09/19/2024,
1822123,91444,Signatory,09/19/2024,
1822123,115058,Signatory,09/19/2024,
1872563,377193,Signatory,09/19/2024,
1872563,46051,Signatory,09/19/2024,
1812989,46578,Signatory,09/19/2024,
1772394,290340,Signatory,09/19/2024,
1860272,91438,Signatory,09/19/2024,
1866021,361227,Signatory,09/19/2024,
1782140,361705,Signatory,09/19/2024,
1861041,92144,Signatory,09/19/2024,
1851515,45863,Signatory,09/19/2024,
1851515,45861,Signatory,09/19/2024,
1764347,368442,Signatory,09/19/2024,
1764347,368914,Signatory,09/19/2024,
1764347,46211,Signatory,09/19/2024,
1853158,91311,Signatory,09/19/2024,
1820838,65801,Signatory,09/19/2024,
1751592,92133,Signatory,09/19/2024,
1762671,46591,Signatory,09/19/2024,
1765870,378135,Signatory,09/19/2024,
1767817,46096,Signatory,09/19/2024,
1879039,46086,Signatory,09/19/2024,
1866959,46660,Signatory,09/19/2024,
1856105,46354,Signatory,09/19/2024,
1913914,146002,Signatory,09/19/2024,
1814167,91412,Signatory,09/19/2024,
1816899,115750,Signatory,09/19/2024,
1900506,91776,Signatory,09/19/2024,
1770612,116918,Signatory,09/19/2024,
1656922,92133,Signatory,09/19/2024,
1656922,91339,Signatory,09/19/2024,
1656922,360320,Signatory,09/19/2024,
1852190,378430,Signatory,09/19/2024,
1852190,361940,Signatory,09/19/2024,
1817358,46591,Signatory,09/19/2024,
1874987,115750,Signatory,09/19/2024,
1870913,45905,Signatory,09/19/2024,
998293,46664,Signatory,09/19/2024,
1765830,323366,Signatory,09/19/2024,
1765830,378049,Signatory,09/19/2024,
1767478,45918,Signatory,09/19/2024,
1884447,361234,Signatory,09/19/2024,
1884447,46471,Signatory,09/19/2024,
1884447,46657,Signatory,09/19/2024,
1884447,58731,Signatory,09/19/2024,
1584146,46090,Signatory,09/19/2024,
1763262,59032,Signatory,09/19/2024,
1811763,360427,Signatory,09/19/2024,
1811763,385232,Signatory,09/19/2024,
1869612,368929,Signatory,09/19/2024,
1878423,46019,Signatory,09/19/2024,
1813811,45950,Signatory,09/19/2024,
1878113,46212,Signatory,09/19/2024,
1768074,350133,Signatory,09/19/2024,
1868005,378041,Signatory,09/19/2024,
1811984,46156,Signatory,09/19/2024,
1772848,135420,Signatory,09/19/2024,
1772848,303805,Signatory,09/19/2024,
1869341,46008,Signatory,09/19/2024,
1913330,368854,Signatory,09/19/2024,
1818686,46614,Signatory,09/19/2024,
1760548,45912,Signatory,09/19/2024,
1934872,302865,Signatory,09/19/2024,
1821254,350847,Signatory,09/19/2024,
1802670,92151,Signatory,09/19/2024,
1865219,378041,Signatory,09/19/2024,
1868711,322560,Signatory,09/19/2024,
1853505,46403,Signatory,09/19/2024,
1707188,361988,Signatory,09/19/2024,
1707188,56571,Signatory,09/19/2024,
1762258,361988,Signatory,09/19/2024,
1762258,56571,Signatory,09/19/2024,
1090277,91847,Signatory,09/19/2024,
1772104,160137,Signatory,09/19/2024,
1761803,361227,Signatory,09/19/2024,
1872145,91443,Signatory,09/19/2024,
1872145,378041,Signatory,09/19/2024,
1872145,377367,Signatory,09/19/2024,
1758735,303805,Signatory,09/19/2024,
1810080,91488,Signatory,09/19/2024,
1760583,322560,Signatory,09/19/2024,
1760583,368511,Signatory,09/19/2024,
1767591,46614,Signatory,09/19/2024,
1807140,46384,Signatory,09/19/2024,
1807140,46444,Signatory,09/19/2024,
1813418,46090,Signatory,09/19/2024,
1813418,85562,Signatory,09/19/2024,
1801422,59032,Signatory,09/19/2024,
1860155,46356,Signatory,09/19/2024,
1771952,332708,Signatory,09/19/2024,
1834091,378430,Signatory,09/19/2024,
1848514,58731,Signatory,09/19/2024,
1885335,45905,Signatory,09/19/2024,
1829794,362003,Signatory,09/19/2024,
1829794,361995,Signatory,09/19/2024,
1816359,91905,Signatory,09/19/2024,
1762798,46084,Signatory,09/19/2024,
1761228,368338,Signatory,09/19/2024,
1808564,45995,Signatory,09/19/2024,
1820473,332708,Signatory,09/19/2024,
1801309,378434,Signatory,09/19/2024,
1814605,91688,Signatory,09/19/2024,
1647423,158926,Signatory,09/19/2024,
1751215,46384,Signatory,09/19/2024,
1751215,46444,Signatory,09/19/2024,
1664299,91364,Signatory,09/19/2024,
1820965,332711,Signatory,09/19/2024,
1873355,135403,Signatory,09/19/2024,
1752006,123422,Signatory,09/19/2024,
1758289,223314,Signatory,09/19/2024,
1813192,135404,Signatory,09/19/2024,
1852730,361211,Signatory,09/19/2024,
1858931,351164,Signatory,09/19/2024,
1601772,91426,Signatory,09/19/2024,
1601772,58744,Signatory,09/19/2024,
1869337,45916,Signatory,09/19/2024,
1734549,46128,Signatory,09/19/2024,
1870138,46461,Signatory,09/19/2024,
1870138,46341,Signatory,09/19/2024,
1930991,320216,Signatory,09/19/2024,
1796022,116038,Signatory,09/19/2024,
1883580,115779,Signatory,09/19/2024,
1862929,378442,Signatory,09/19/2024,
1931788,320216,Signatory,09/19/2024,
1819078,157342,Signatory,09/19/2024,
1828431,45989,Signatory,09/19/2024,
1750534,46345,Signatory,09/19/2024,
1821725,46249,Signatory,09/19/2024,
1812337,342992,Signatory,09/19/2024,
1879942,135415,Signatory,09/19/2024,
1879942,320216,Signatory,09/19/2024,
1769416,289679,Signatory,09/19/2024,
1810234,146431,Signatory,09/19/2024,
1872025,301955,Signatory,09/19/2024,
1802543,46456,Signatory,09/19/2024,
1748186,92048,Signatory,09/19/2024,
1818645,385043,Signatory,09/19/2024,
1880345,46454,Signatory,09/19/2024,
1865233,91523,Signatory,09/19/2024,
1915680,91523,Signatory,09/19/2024,
1867231,385043,Signatory,09/19/2024,
1816069,385043,Signatory,09/19/2024,
1766739,385043,Signatory,09/19/2024,
1766739,91772,Signatory,09/19/2024,
